datetime,tempmax,tempmin,temp,humidity,precip,preciptype,snow,windspeed,visibility,severerisk,sunrise,sunset,icon,temperature_category,precip_category,humid_category,wind_level,vis_level
2022-03-07,69.5,57.4,64.3,64.1,0.021,1,0,22.3,9.9,10.0,06:20,17:54,rain,Warm,Light,High,Small trees sway,Good
2022-03-08,52.9,40.9,45.1,39.9,0.009,1,0,10.1,9.9,10.0,06:18,17:55,rain,Moderate,Light,Low,Flags wave,Good
2022-03-09,42.1,35.8,38.3,78.6,0.242,1,1,13.7,7.9,10.0,06:17,17:56,snow,Cold,Moderate,High,Leaves scatter,Moderate
2022-03-10,48.8,34.9,41.1,71.8,0.0,0,0,8.9,8.9,10.0,06:15,17:57,clear-day,Moderate,Dry,High,Flags wave,Moderate
2022-03-11,53.9,38.1,45.1,59.1,0.009,1,0,9.1,9.9,10.0,06:14,17:58,rain,Moderate,Light,High,Flags wave,Good
2022-03-12,47.0,26.0,37.2,78.6,0.126,1,1,20.9,7.7,10.0,06:12,17:59,snow,Cold,Moderate,High,Small trees sway,Moderate
2022-03-13,35.8,24.1,29.4,52.0,0.0,0,1,19.0,9.8,10.0,07:10,19:00,snow,Cold,Dry,High,Small trees sway,Good
2022-03-14,56.0,32.0,44.4,49.8,0.0,0,0,11.4,9.9,10.0,07:09,19:01,cloudy,Moderate,Dry,Low,Flags wave,Good
2022-03-15,66.0,44.2,53.5,47.2,0.0,0,0,10.2,9.9,10.0,07:07,19:02,clear-day,Moderate,Dry,Low,Flags wave,Good
2022-03-16,65.0,48.3,55.4,55.5,0.0,0,0,13.5,9.9,10.0,07:05,19:03,clear-day,Moderate,Dry,High,Leaves scatter,Good
2022-03-17,53.0,44.9,49.2,90.0,0.018,1,0,16.5,5.9,10.0,07:04,19:05,rain,Moderate,Light,Very High,Leaves scatter,Poor
2022-03-18,71.1,49.0,55.9,80.8,0.009,1,0,8.9,7.3,10.0,07:02,19:06,rain,Moderate,Light,Very High,Flags wave,Moderate
2022-03-19,67.9,48.0,57.2,79.7,0.104,1,0,10.2,8.3,10.0,07:00,19:07,rain,Moderate,Moderate,High,Flags wave,Moderate
2022-03-20,57.1,47.0,54.1,61.9,0.01,1,0,14.6,9.9,10.0,06:59,19:08,rain,Moderate,Light,High,Leaves scatter,Good
2022-03-21,64.8,45.0,53.3,39.3,0.036,1,0,11.6,9.9,10.0,06:57,19:09,rain,Moderate,Light,Low,Flags wave,Good
2022-03-22,60.0,46.0,52.7,27.1,0.0,0,0,11.6,9.9,10.0,06:55,19:10,cloudy,Moderate,Dry,Low,Flags wave,Good
2022-03-23,48.0,40.9,44.2,46.7,0.001,1,0,17.7,9.9,10.0,06:54,19:11,rain,Moderate,Light,Low,Leaves scatter,Good
2022-03-24,47.0,40.8,43.6,90.7,0.24,1,0,21.8,6.1,10.0,06:52,19:12,rain,Moderate,Moderate,Very High,Small trees sway,Moderate
2022-03-25,57.1,44.9,50.3,69.9,0.026,1,0,17.8,9.4,10.0,06:51,19:13,rain,Moderate,Light,High,Leaves scatter,Good
2022-03-26,52.9,45.0,49.3,53.5,0.002,1,0,14.2,9.9,10.0,06:49,19:14,rain,Moderate,Light,High,Leaves scatter,Good
2022-03-27,46.9,34.0,41.2,54.7,0.0,0,0,18.2,9.9,10.0,06:47,19:15,cloudy,Moderate,Dry,High,Small trees sway,Good
2022-03-28,34.7,25.3,29.9,42.4,0.046,1,0,15.2,9.9,10.0,06:46,19:16,rain,Cold,Light,Low,Leaves scatter,Good
2022-03-29,38.7,26.8,32.4,42.0,0.009,1,0,18.2,9.8,10.0,06:44,19:17,rain,Cold,Light,Low,Small trees sway,Good
2022-03-30,45.8,29.5,37.5,35.9,0.0,0,0,9.6,9.9,10.0,06:42,19:18,cloudy,Cold,Dry,Low,Flags wave,Good
2022-03-31,64.4,44.1,55.1,76.2,0.0,0,0,12.4,7.7,10.0,06:41,19:19,cloudy,Moderate,Dry,High,Leaves scatter,Moderate
2022-04-01,62.3,45.0,53.2,59.8,0.301,1,0,18.5,9.5,10.0,06:39,19:20,rain,Moderate,Heavy,High,Small trees sway,Good
2022-04-02,53.1,38.3,44.8,41.3,0.0,0,0,15.2,9.9,10.0,06:37,19:21,cloudy,Moderate,Dry,Low,Leaves scatter,Good
2022-04-03,46.5,42.2,44.7,69.4,0.091,1,0,14.2,9.5,10.0,06:36,19:23,rain,Moderate,Light,High,Leaves scatter,Good
2022-04-04,53.1,39.8,46.4,48.3,0.0,0,0,16.1,9.9,10.0,06:34,19:24,cloudy,Moderate,Dry,Low,Leaves scatter,Good
2022-04-05,55.8,45.6,49.6,48.7,0.017,1,0,11.4,9.6,10.0,06:32,19:25,rain,Moderate,Light,Low,Flags wave,Good
2022-04-06,52.1,44.1,47.8,88.5,0.27,1,0,20.5,8.4,10.0,06:31,19:26,rain,Moderate,Moderate,Very High,Small trees sway,Moderate
2022-04-07,52.2,46.1,48.9,88.4,0.29,1,0,20.9,7.5,10.0,06:29,19:27,rain,Moderate,Moderate,Very High,Small trees sway,Moderate
2022-04-08,63.0,48.8,55.4,62.1,0.017,1,0,13.7,9.0,10.0,06:28,19:28,rain,Moderate,Light,High,Leaves scatter,Moderate
2022-04-09,55.9,47.2,50.9,65.2,0.059,1,0,17.0,9.8,10.0,06:26,19:29,rain,Moderate,Light,High,Leaves scatter,Good
2022-04-10,52.8,43.1,47.6,51.2,0.037,1,0,19.9,9.9,10.0,06:24,19:30,rain,Moderate,Light,High,Small trees sway,Good
2022-04-11,59.1,41.5,49.5,48.0,0.018,1,0,7.1,9.9,10.0,06:23,19:31,rain,Moderate,Light,Low,Flags ripple,Good
2022-04-12,72.9,48.1,57.8,58.9,0.049,1,0,7.8,9.9,10.0,06:21,19:32,rain,Moderate,Light,High,Flags wave,Good
2022-04-13,68.5,53.1,59.7,66.1,0.009,1,0,14.7,9.9,10.0,06:20,19:33,rain,Moderate,Light,High,Leaves scatter,Good
2022-04-14,82.4,56.9,68.0,60.4,0.115,1,0,9.9,9.7,10.0,06:18,19:34,rain,Warm,Moderate,High,Flags wave,Good
2022-04-15,69.1,52.1,59.7,35.6,0.009,1,0,13.9,9.9,10.0,06:17,19:35,rain,Moderate,Light,Low,Leaves scatter,Good
2022-04-16,70.1,46.9,58.7,47.9,0.064,1,0,11.4,9.6,10.0,06:15,19:36,rain,Moderate,Light,Low,Flags wave,Good
2022-04-17,53.7,43.0,47.6,49.7,0.02,1,0,8.7,9.9,10.0,06:14,19:37,rain,Moderate,Light,Low,Flags wave,Good
2022-04-18,51.3,42.1,46.3,51.5,0.157,1,0,19.4,9.5,10.0,06:12,19:38,rain,Moderate,Moderate,High,Small trees sway,Good
2022-04-19,49.9,42.0,45.9,69.3,0.329,1,0,24.1,7.9,10.0,06:11,19:39,rain,Moderate,Heavy,High,Small trees sway,Moderate
2022-04-20,61.9,43.0,50.8,44.9,0.0,0,0,16.9,9.9,10.0,06:09,19:40,clear-day,Moderate,Dry,Low,Leaves scatter,Good
2022-04-21,57.0,46.9,52.0,64.7,0.018,1,0,18.4,9.9,10.0,06:08,19:41,rain,Moderate,Light,High,Small trees sway,Good
2022-04-22,70.9,52.2,60.6,43.5,0.0,0,0,11.4,9.7,10.0,06:06,19:42,clear-day,Warm,Dry,Low,Flags wave,Good
2022-04-23,62.1,52.1,56.5,45.1,0.009,1,0,13.4,9.7,10.0,06:05,19:43,rain,Moderate,Light,Low,Leaves scatter,Good
2022-04-24,61.9,48.8,55.0,53.2,0.0,0,0,13.6,9.9,10.0,06:04,19:45,cloudy,Moderate,Dry,High,Leaves scatter,Good
2022-04-25,56.9,47.9,52.3,52.1,0.009,1,0,11.0,9.9,10.0,06:02,19:46,rain,Moderate,Light,High,Flags wave,Good
2022-04-26,58.9,52.1,54.9,78.1,0.056,1,0,11.3,9.4,10.0,06:01,19:47,rain,Moderate,Light,High,Flags wave,Good
2022-04-27,57.0,44.8,52.2,50.0,0.01,1,0,11.0,9.9,10.0,05:59,19:48,rain,Moderate,Light,Low,Flags wave,Good
2022-04-28,60.0,42.0,49.4,34.4,0.009,1,0,10.5,9.9,10.0,05:58,19:49,rain,Moderate,Light,Low,Flags wave,Good
2022-04-29,64.8,43.0,53.3,24.3,0.009,1,0,11.4,9.9,10.0,05:57,19:50,rain,Moderate,Light,Low,Flags wave,Good
2022-04-30,69.0,46.9,56.2,29.1,0.027,1,0,8.0,9.9,10.0,05:55,19:51,rain,Moderate,Light,Low,Flags wave,Good
2022-05-01,68.0,48.8,56.9,50.7,0.028,1,0,10.2,9.9,10.0,05:54,19:52,rain,Moderate,Light,High,Flags wave,Good
2022-05-02,56.0,53.0,54.3,83.7,0.068,1,0,14.8,8.4,10.0,05:53,19:53,rain,Moderate,Light,Very High,Leaves scatter,Moderate
2022-05-03,62.8,52.0,55.9,75.0,0.0,0,0,13.6,9.9,10.0,05:52,19:54,cloudy,Moderate,Dry,High,Leaves scatter,Good
2022-05-04,64.0,50.0,55.5,84.9,0.079,1,0,13.1,8.5,10.0,05:50,19:55,rain,Moderate,Light,Very High,Leaves scatter,Moderate
2022-05-05,71.2,56.9,63.3,58.7,0.018,1,0,8.1,9.9,10.0,05:49,19:56,rain,Warm,Light,High,Flags wave,Good
2022-05-06,60.3,51.1,55.8,80.3,0.076,1,0,12.4,8.9,10.0,05:48,19:57,rain,Moderate,Light,Very High,Leaves scatter,Moderate
2022-05-07,51.1,47.8,49.4,86.2,0.091,1,0,22.6,8.3,10.0,05:47,19:58,rain,Moderate,Light,Very High,Small trees sway,Moderate
2022-05-08,58.9,46.9,52.4,49.7,0.0,0,0,20.5,9.9,10.0,05:46,19:59,cloudy,Moderate,Dry,Low,Small trees sway,Good
2022-05-09,70.9,48.7,58.5,29.5,0.0,0,0,21.6,9.9,10.0,05:45,20:00,clear-day,Moderate,Dry,Low,Small trees sway,Good
2022-05-10,71.1,53.9,61.2,28.2,0.018,1,0,20.5,9.9,10.0,05:44,20:01,rain,Warm,Light,Low,Small trees sway,Good
2022-05-11,73.1,55.9,61.8,43.7,0.0,0,0,19.4,9.9,10.0,05:42,20:02,cloudy,Warm,Dry,Low,Small trees sway,Good
2022-05-12,70.2,55.3,62.8,74.2,0.0,0,0,12.6,9.9,10.0,05:41,20:03,cloudy,Warm,Dry,High,Leaves scatter,Good
2022-05-13,70.9,57.6,62.5,86.6,0.011,1,0,13.5,8.2,10.0,05:40,20:04,rain,Warm,Light,Very High,Leaves scatter,Moderate
2022-05-14,69.3,57.2,62.2,90.3,0.09,1,0,7.8,7.1,10.0,05:39,20:05,rain,Warm,Light,Very High,Flags wave,Moderate
2022-05-15,78.1,57.5,65.5,84.0,0.018,1,0,9.3,6.9,10.0,05:38,20:06,rain,Warm,Light,Very High,Flags wave,Moderate
2022-05-16,74.8,63.1,67.7,81.3,0.041,1,0,11.3,9.5,30.0,05:38,20:07,rain,Warm,Light,Very High,Flags wave,Good
2022-05-17,76.9,57.8,66.8,50.8,0.0,0,0,19.5,9.6,10.0,05:37,20:08,cloudy,Warm,Dry,High,Small trees sway,Good
2022-05-18,73.0,56.9,64.2,46.9,0.0,0,0,8.1,9.9,10.0,05:36,20:09,clear-day,Warm,Dry,Low,Flags wave,Good
2022-05-19,67.9,54.3,59.7,82.3,0.076,1,0,9.1,8.8,10.0,05:35,20:10,rain,Moderate,Light,Very High,Flags wave,Moderate
2022-05-20,69.8,56.0,62.3,85.5,0.084,1,0,13.5,6.4,10.0,05:34,20:11,rain,Warm,Light,Very High,Leaves scatter,Moderate
2022-05-21,89.7,61.1,73.7,75.9,0.0,0,0,8.9,5.6,100.0,05:33,20:12,cloudy,Warm,Dry,High,Flags wave,Poor
2022-05-22,88.1,74.1,79.8,63.6,0.027,1,0,9.9,9.9,75.0,05:33,20:12,rain,Warm,Light,High,Flags wave,Good
2022-05-23,75.6,62.0,69.3,48.9,0.009,1,0,11.2,9.9,10.0,05:32,20:13,rain,Warm,Light,Low,Flags wave,Good
2022-05-24,68.9,58.9,63.1,61.9,0.128,1,0,14.9,9.9,10.0,05:31,20:14,rain,Warm,Moderate,High,Leaves scatter,Good
2022-05-25,70.0,56.8,61.3,59.6,0.018,1,0,10.3,9.7,10.0,05:30,20:15,rain,Warm,Light,High,Flags wave,Good
2022-05-26,69.2,56.8,62.8,70.2,0.0,0,0,11.3,9.9,10.0,05:30,20:16,cloudy,Warm,Dry,High,Flags wave,Good
2022-05-27,79.1,64.2,68.9,83.9,0.06,1,0,10.2,8.8,10.0,05:29,20:17,rain,Warm,Light,Very High,Flags wave,Moderate
2022-05-28,75.6,64.4,69.0,80.8,0.14,1,0,8.3,9.6,30.0,05:29,20:18,rain,Warm,Moderate,Very High,Flags wave,Good
2022-05-29,78.9,62.8,69.8,61.2,0.0,0,0,8.9,9.9,10.0,05:28,20:18,clear-day,Warm,Dry,High,Flags wave,Good
2022-05-30,85.9,63.1,74.5,64.4,0.0,0,0,7.0,9.9,10.0,05:28,20:19,clear-day,Warm,Dry,High,Flags ripple,Good
2022-05-31,92.9,69.0,82.6,54.6,0.0,0,0,15.8,9.9,30.0,05:27,20:20,clear-day,Hot,Dry,High,Leaves scatter,Good
2022-06-01,69.5,60.4,63.8,78.6,0.671,1,0,18.0,8.7,10.0,05:27,20:21,rain,Warm,Heavy,High,Leaves scatter,Moderate
2022-06-02,79.2,61.3,68.2,86.5,0.471,1,0,9.2,6.8,30.0,05:26,20:21,rain,Warm,Heavy,Very High,Flags wave,Moderate
2022-06-03,74.4,62.5,68.3,77.7,0.0,0,0,8.8,6.3,10.0,05:26,20:22,cloudy,Warm,Dry,High,Flags wave,Moderate
2022-06-04,80.1,61.9,71.0,52.6,0.0,0,0,8.6,9.9,10.0,05:26,20:23,clear-day,Warm,Dry,High,Flags wave,Good
2022-06-05,77.9,62.7,69.8,39.7,0.018,1,0,10.9,9.9,10.0,05:25,20:23,rain,Warm,Light,Low,Flags wave,Good
2022-06-06,80.8,65.0,71.9,42.7,0.0,0,0,14.7,9.9,10.0,05:25,20:24,clear-day,Warm,Dry,Low,Leaves scatter,Good
2022-06-07,78.0,64.1,70.0,65.0,0.039,1,0,16.1,9.9,10.0,05:25,20:25,rain,Warm,Light,High,Leaves scatter,Good
2022-06-08,83.7,66.8,75.4,68.5,0.012,1,0,13.4,9.7,30.0,05:24,20:25,rain,Warm,Light,High,Leaves scatter,Good
2022-06-09,82.9,69.2,74.9,68.1,0.282,1,0,19.2,9.3,30.0,05:24,20:26,rain,Warm,Moderate,High,Small trees sway,Good
2022-06-10,79.8,63.0,72.1,49.5,0.009,1,0,13.5,9.9,10.0,05:24,20:26,rain,Warm,Light,Low,Leaves scatter,Good
2022-06-11,75.6,68.0,71.3,58.6,0.004,1,0,8.9,9.9,10.0,05:24,20:27,rain,Warm,Light,High,Flags wave,Good
2022-06-12,74.8,65.0,68.0,79.4,0.049,1,0,11.3,9.8,10.0,05:24,20:27,rain,Warm,Light,High,Flags wave,Good
2022-06-13,85.9,68.0,75.7,72.4,0.009,1,0,9.0,9.3,60.0,05:24,20:28,rain,Warm,Light,High,Flags wave,Good
2022-06-14,82.9,69.9,75.6,47.2,0.0,0,0,11.0,9.8,10.0,05:24,20:28,clear-day,Warm,Dry,Low,Flags wave,Good
2022-06-15,80.6,66.8,73.0,62.9,0.0,0,0,13.9,9.9,10.0,05:24,20:28,clear-day,Warm,Dry,High,Leaves scatter,Good
2022-06-16,71.9,62.9,68.1,77.9,0.155,1,0,13.2,9.6,10.0,05:24,20:29,rain,Warm,Moderate,High,Leaves scatter,Good
2022-06-17,89.8,69.2,78.7,60.4,0.009,1,0,12.4,9.4,75.0,05:24,20:29,rain,Warm,Light,High,Leaves scatter,Good
2022-06-18,77.0,60.4,67.2,48.6,0.0,0,0,23.0,9.9,10.0,05:24,20:29,cloudy,Warm,Dry,Low,Small trees sway,Good
2022-06-19,73.1,54.5,63.7,40.6,0.0,0,0,18.3,9.9,10.0,05:24,20:30,cloudy,Warm,Dry,Low,Small trees sway,Good
2022-06-20,77.5,59.0,68.7,38.6,0.0,0,0,13.9,9.9,10.0,05:24,20:30,clear-day,Warm,Dry,Low,Leaves scatter,Good
2022-06-21,78.0,63.3,69.7,54.7,0.05,1,0,7.3,8.9,10.0,05:25,20:30,rain,Warm,Light,High,Flags wave,Moderate
2022-06-22,66.8,63.0,65.1,82.8,0.05,1,0,15.0,8.3,10.0,05:25,20:30,rain,Warm,Light,Very High,Leaves scatter,Moderate
2022-06-23,71.1,61.1,66.8,77.0,0.072,1,0,10.4,8.9,10.0,05:25,20:31,rain,Warm,Light,High,Flags wave,Moderate
2022-06-24,81.3,63.3,71.3,73.7,0.0,0,0,9.7,8.5,30.0,05:25,20:31,cloudy,Warm,Dry,High,Flags wave,Moderate
2022-06-25,89.7,69.4,79.1,55.4,0.0,0,0,7.2,9.8,10.0,05:26,20:31,clear-day,Warm,Dry,High,Flags wave,Good
2022-06-26,88.6,73.5,79.8,54.1,0.0,0,0,12.8,9.8,10.0,05:26,20:31,clear-day,Warm,Dry,High,Leaves scatter,Good
2022-06-27,75.8,71.1,73.6,76.3,0.341,1,0,12.8,8.3,30.0,05:26,20:31,rain,Warm,Heavy,High,Leaves scatter,Moderate
2022-06-28,77.0,66.5,71.6,50.2,0.0,0,0,7.8,9.9,10.0,05:27,20:31,cloudy,Warm,Dry,High,Flags wave,Good
2022-06-29,83.1,65.9,74.7,57.2,0.027,1,0,14.6,9.8,30.0,05:27,20:31,rain,Warm,Light,High,Leaves scatter,Good
2022-06-30,88.8,70.0,78.2,55.9,0.054,1,0,13.7,9.9,10.0,05:28,20:31,rain,Warm,Light,High,Leaves scatter,Good
